title,company,location,job_url,date_posted,Target Level,Match_Score,Rejection_Reason,is_remote,salary_range
Full Stack Developer (Marketing) - Montreal,Industrious,"Montreal, Quebec, Canada",https://www.linkedin.com/jobs/view/4359238323,2026-02-07,Possible,0,,False,
"Software Engineer, Backend (All Levels)",Zip,"Toronto, Ontario, Canada",https://www.linkedin.com/jobs/view/4186441603,,Possible,0,,False,
Software Developer - Backend (Remote),Cisco,"Mississauga, Ontario, Canada",https://www.linkedin.com/jobs/view/4370319619,,Possible,0,,True,
Software Developer,Scotiabank,"Toronto, Ontario, Canada",https://www.linkedin.com/jobs/view/4315501123,,Possible,0,,False,
Python SWE,Great Value Hiring,,https://www.linkedin.com/jobs/view/4370028290,,Possible,0,,False,
"Software Engineer, Product",Asana,"Vancouver, British Columbia, Canada",https://www.linkedin.com/jobs/view/4315933660,,Possible,0,,False,
Software Developer - Backend (Remote),Cisco,"Calgary, Alberta, Canada",https://www.linkedin.com/jobs/view/4370333086,,Possible,0,,True,
Jr Software Engineer/ Industrial Designer,Makk Design Inc.,"Midland, Ontario, Canada",https://www.linkedin.com/jobs/view/4367030123,,Possible,0,,False,
Software Developer - Backend (Remote),Cisco,"Kanata, Ontario, Canada",https://www.linkedin.com/jobs/view/4370328401,,Possible,0,,True,
Software Developer - Backend (Remote),Cisco,"Ottawa, Ontario, Canada",https://www.linkedin.com/jobs/view/4370322567,,Possible,0,,True,
Software Developer - Backend (Remote),Cisco,"Halifax, Nova Scotia, Canada",https://www.linkedin.com/jobs/view/4370332177,,Possible,0,,True,
Python SWE - Fully Remote,Mercor,,https://www.linkedin.com/jobs/view/4370161753,,Possible,0,,True,
"Software Engineer, Android (Pay)",Lyft,"Toronto, Ontario, Canada",https://www.linkedin.com/jobs/view/4277863767,,Possible,0,,False,
Software Engineer (ML) | Remote,Crossing Hurdles,,https://www.linkedin.com/jobs/view/4370001963,,Possible,0,,True,
Software Engineer - Remote (Fully),Mercor,,https://www.linkedin.com/jobs/view/4370168370,,Possible,0,,True,
Software Developer - Backend (Remote),Cisco,"Montreal, Quebec, Canada",https://www.linkedin.com/jobs/view/4370313800,,Possible,0,,True,
Software Development Engineer (Full Stack),Workday,"Vancouver, British Columbia, Canada",https://www.linkedin.com/jobs/view/4348567158,,Possible,0,,False,
Software Developer - Backend (Remote),Cisco,"Fredericton, New Brunswick, Canada",https://www.linkedin.com/jobs/view/4370328402,,Possible,0,,True,
Software Engineer,Mercor,,https://www.linkedin.com/jobs/view/4370156998,,Possible,0,,False,
Software Developer Engineer,Mercor,,https://www.linkedin.com/jobs/view/4370177118,,Possible,0,,False,
Machine Learning Researcher | Remote,Crossing Hurdles,,https://www.linkedin.com/jobs/view/4370000912,,Possible,0,,True,
ModiFace - AI Researcher,L'Oréal,"Toronto, Ontario, Canada",https://www.linkedin.com/jobs/view/4359216125,,Possible,0,,False,
Quality Assurance & Tester,The University of British Columbia,"Vancouver, British Columbia, Canada",https://www.linkedin.com/jobs/view/4370152567,,Possible,0,,False,
"Software Development Engineer, Amazon Marketing Cloud",Amazon,"Toronto, Ontario, Canada",https://www.linkedin.com/jobs/view/4364044678,,Possible,0,,False,
